OTU_ID,SuperKingdom,Phylum,Class,Order,Family,Genus,Species
OTU1319,Eukaryota,,,,,,
OTU132,Eukaryota,,,,,,
OTU1320,Eukaryota,Oomycota,,Pythiales,Pythiaceae,Pythium,
OTU1321,Eukaryota,,,,,,
OTU1322,Eukaryota,,,,,,
OTU1323,Eukaryota,,,,,,
OTU1324,Eukaryota,,,,,,
OTU1325,Eukaryota,,,,,,
OTU1326,Eukaryota,,,,,,
OTU1327,Eukaryota,Arthropoda,Insecta,Hemiptera,,,
OTU1328,Eukaryota,Oomycota,,Saprolegniales,Saprolegniaceae,Saprolegnia,Saprolegnia_turfosa
OTU1329,Eukaryota,,,,,,
OTU133,Eukaryota,,,,,,
OTU1330,Eukaryota,Arthropoda,,,,,
OTU1331,Eukaryota,,,,,,
OTU1332,Eukaryota,,,,,,
OTU1333,Eukaryota,,,,,,
OTU1334,Eukaryota,,,,,,
OTU1335,Eukaryota,,,,,,
OTU1336,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia palea
OTU1337,Eukaryota,,,,,,
OTU1338,Eukaryota,,,,,,
OTU1339,Eukaryota,Oomycota,,,,,
OTU134,Eukaryota,,,,,,
OTU1340,Eukaryota,,,,,,
OTU1341,Eukaryota,,,,,,
OTU1342,Eukaryota,,,,,,
OTU1343,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,,,
OTU1344,Eukaryota,,,,,,
OTU1345,Eukaryota,,,,,,
OTU1346,Eukaryota,,,,,,
OTU1347,Eukaryota,,,,,,
OTU1348,Eukaryota,,,,,,
OTU1349,Eukaryota,,,,,,
OTU135,Eukaryota,,,,,,
OTU1350,Eukaryota,Oomycota,,Pythiales,Pythiaceae,Pythium,Pythium_grandisporangium
OTU1351,Eukaryota,,,,,,
OTU1352,Eukaryota,,,,,,
OTU1353,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira pseudonana
OTU1354,Eukaryota,Annelida,Clitellata,Tubificida,Naididae,Nais,
OTU1355,Eukaryota,,,,,,
OTU1356,Eukaryota,,,,,,
OTU1357,Eukaryota,,,,,,
OTU1358,Eukaryota,,,,,,
OTU1359,Eukaryota,,,,,,
OTU136,Eukaryota,,,,,,
OTU1360,Eukaryota,,,,,,
OTU1361,Eukaryota,Arthropoda,Malacostraca,Tanaidacea,Apseudidae,Hoplomachus,Hoplomachus propinquus
OTU1362,Eukaryota,,,,,,
OTU1363,Eukaryota,,,,,,
OTU1364,Eukaryota,,,,,,
OTU1365,Eukaryota,,,,,,
OTU1366,Eukaryota,,,,,,
OTU1367,Eukaryota,,,,,,
OTU1368,Eukaryota,Rhodophyta,Florideophyceae,,,,
OTU1369,Eukaryota,,,,,,
OTU137,Eukaryota,,,,,,
OTU1370,Eukaryota,,,,,,
OTU1371,Eukaryota,,,,,,
OTU1372,Eukaryota,Arthropoda,,,,,
OTU1373,Eukaryota,,,,,,
OTU1374,Eukaryota,,,,,,
OTU1375,Eukaryota,Arthropoda,Insecta,Lepidoptera,,,
OTU1376,Eukaryota,,,,,,
OTU1377,Eukaryota,,,,,,
OTU1378,Eukaryota,,,,,,
OTU1379,Eukaryota,Rhodophyta,Florideophyceae,,,,
OTU138,Eukaryota,,,,,,
OTU1380,Eukaryota,Rhodophyta,Florideophyceae,,,,
OTU1381,Eukaryota,,,,,,
OTU1382,Eukaryota,,,,,,
OTU1383,Eukaryota,,,,,,
OTU1384,Eukaryota,,,,,,
OTU1385,Eukaryota,,,,,,
OTU1386,Eukaryota,,,,,,
OTU1387,Eukaryota,,,,,,
OTU1388,Eukaryota,,,,,,
OTU1389,Eukaryota,,,,,,
OTU139,Eukaryota,Oomycota,,Pythiales,Pythiaceae,Pythium,
OTU1390,Eukaryota,,,,,,
OTU1391,Eukaryota,,,,,,
OTU1392,Eukaryota,,,,,,
OTU1393,Eukaryota,,,,,,
OTU1394,Eukaryota,,,,,,
OTU1395,Eukaryota,,,,,,
OTU1396,Eukaryota,,,,,,
OTU1397,Eukaryota,,,,,,
OTU1398,Eukaryota,,,,,,
OTU1399,Eukaryota,,,,,,
OTU14,Eukaryota,,,,,,
OTU140,Eukaryota,,,,,,
OTU1400,Eukaryota,,,,,,
OTU1401,Eukaryota,,,,,,
OTU1402,Eukaryota,,,,,,
OTU1403,Eukaryota,Bacillariophyta,,,,,
OTU1404,Eukaryota,Oomycota,,Saprolegniales,Saprolegniaceae,Achlya_2,
OTU1405,Eukaryota,,,,,,
OTU1406,Eukaryota,,,,,,
OTU1407,Eukaryota,,,,,,
